0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0359a,0577a,2,1,1,0,2,2,0,1,2,2,1,1,0,2,2,0,2,2,0
0359a,1120a,2,1,1,3,2,2,0,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1120b,1,1,1,0,2,2,0,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1120c,2,1,1,0,2,2,0,0,2,2,1,1,0,2,2,0,2,2,0
0359a,1121a,2,1,1,3,2,2,0,1,2,2,1,1,0,2,2,0,2,2,0
0359a,1121b,2,1,1,0,2,2,0,3,2,2,1,1,0,2,2,0,2,2,0
0359a,1121c,1,1,1,0,2,2,0,1,2,2,1,1,0,2,2,0,2,2,0
0359a,1229b,1,1,1,3,2,2,0,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1302a,2,1,1,3,2,2,0,0,2,2,1,1,0,2,2,0,2,2,0
0359a,1302b,3,1,1,0,2,2,0,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1302c,2,1,1,3,2,2,0,3,2,2,1,1,0,2,2,0,2,2,0
0359a,1305a,1,1,1,0,2,2,0,0,2,2,1,1,0,2,2,0,2,2,0
0359a,1305b,2,1,1,0,2,2,1,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1305c,1,1,1,3,2,2,0,1,2,2,1,1,0,2,2,0,2,2,0
0359a,1386a,1,1,1,0,2,2,0,3,2,2,1,1,0,2,2,0,2,2,0
0359a,1386b,3,1,1,0,2,2,0,1,2,2,1,1,0,2,2,0,2,2,0
0359a,1386c,3,1,1,3,2,2,0,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1391c,2,1,1,0,2,2,1,1,2,2,1,1,0,2,2,0,2,2,0
0359a,1489a,1,1,1,3,2,2,0,0,2,2,1,1,0,2,2,0,2,2,0
0359a,1489b,2,1,1,3,2,2,1,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1517a,2,1,1,1,2,2,0,2,2,2,1,1,0,2,2,0,2,2,0
0359a,1517b,1,1,1,3,2,2,0,3,2,2,1,1,0,2,2,0,2,2,0
0359a,0331b,3,1,1,0,2,2,0,0,2,2,1,1,0,2,2,0,2,2,0
0359a,0367a,2,1,1,0,2,2,0,4,2,2,1,1,0,2,2,0,2,2,0
0359a,0367b,1,1,1,0,2,2,1,2,2,2,1,1,0,2,2,0,2,2,0
0359a,0367c,3,1,1,3,2,2,0,1,2,2,1,1,0,2,2,0,2,2,0
0359a,0379b,3,1,1,0,2,2,0,3,2,2,1,1,0,2,2,0,2,2,0
0359a,0458a,2,1,1,0,2,2,1,0,2,2,1,1,0,2,2,0,2,2,0
0359a,0565a,2,1,1,3,2,2,1,1,2,2,1,1,0,2,2,0,2,2,0
0359a,0565b,2,1,1,0,2,2,1,3,2,2,1,1,0,2,2,0,2,2,0
